Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,LSRAM 18K,Math (18x18),Chip Globals,PLL
PF_CCC_0/Primitives,0,0,0,0,0,0,0,0,1,1
PROC_SUBSYSTEM_0/AXI_GLUE_LOGIC_0/Primitives,16,0,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAHBTOAPB3_0/CAHBtoAPB3I0l/Primitives,33,80,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAHBTOAPB3_0/CAHBtoAPB3O0l/Primitives,2,2,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAHBTOAPB3_0/CAHBtoAPB3lll/Primitives,30,9,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_AHBMasterCtrl/Primitives,441,123,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_AXIOutReg/Primitives,0,71,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_AXISlaveCtrl/Primitives,300,62,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_AXISlaveCtrl/U_WSRTBAddrOffset/Primitives,4,0,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_AXISlaveCtrl/U_WSTRBPopCntr/Primitives,36,0,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_rdFIFORAM/Primitives,0,69,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_rdFIFORAM/mem_mem_0_0/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_rdFIFORAM/mem_mem_0_1/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_rdFIFORAM/mem_mem_0_2/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_rdFIFORAM/mem_mem_0_3/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_rdFIFORAM/mem_mem_0_4/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_rdFIFORAM/mem_mem_0_5/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_wrFIFORAM/Primitives,0,69,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_wrFIFORAM/mem_mem_0_0/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_wrFIFORAM/mem_mem_0_1/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_wrFIFORAM/mem_mem_0_2/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_wrFIFORAM/mem_mem_0_3/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_wrFIFORAM/mem_mem_0_4/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_0/U_wrFIFORAM/mem_mem_0_5/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_AHBMasterCtrl/Primitives,463,135,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_AXIOutReg/Primitives,0,69,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_AXISlaveCtrl/Primitives,317,73,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_AXISlaveCtrl/U_WSRTBAddrOffset/Primitives,4,0,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_AXISlaveCtrl/U_WSTRBPopCntr/Primitives,36,0,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_rdFIFORAM/Primitives,0,69,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_rdFIFORAM/mem_mem_0_0/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_rdFIFORAM/mem_mem_0_1/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_rdFIFORAM/mem_mem_0_2/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_rdFIFORAM/mem_mem_0_3/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_rdFIFORAM/mem_mem_0_4/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_rdFIFORAM/mem_mem_0_5/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_wrFIFORAM/Primitives,0,69,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_wrFIFORAM/mem_mem_0_0/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_wrFIFORAM/mem_mem_0_1/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_wrFIFORAM/mem_mem_0_2/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_wrFIFORAM/mem_mem_0_3/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_wrFIFORAM/mem_mem_0_4/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREAXITOAHBL_1/U_wrFIFORAM/mem_mem_0_5/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/COREJTAGDEBUG_0/Primitives,0,0,0,0,0,0,0,0,2,0
PROC_SUBSYSTEM_0/COREJTAGDEBUG_0/genblk1.UJ_JTAG_0/Primitives,92,16,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/Primitives,244,324,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/data/Primitives,8,0,144,144,0,0,4,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/dataArb/Primitives,115,0,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/fq/Primitives,114,4,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/meta/Primitives,66,8,36,36,0,0,1,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/meta/T_1676_0_T_1676_0_0_0_AND_INST1/Primitives,1,0,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/meta/T_1676_0_T_1676_0_0_0_AND_INST2/Primitives,1,0,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/meta/T_1676_0_T_1676_0_0_0_AND_INST3/Primitives,1,0,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/meta/T_1676_0_T_1676_0_0_0_AND_INST4/Primitives,1,0,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/metaReadArb/Primitives,1,0,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/tlb/Primitives,15,0,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/Primitives,1245,441,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/T_6999_1_T_6999_1_0_0/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/T_6999_1_T_6999_1_0_1/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/T_6999_1_T_6999_1_0_2/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/T_6999_T_6999_0_0/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/T_6999_T_6999_0_1/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/T_6999_T_6999_0_2/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/alu/Primitives,488,0,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/bpu/Primitives,80,0,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/csr/Primitives,758,412,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/div/Primitives,383,119,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/div/WideMult_0_0/Primitives,0,0,72,72,0,0,0,2,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/icache/Primitives,149,65,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/icache/icache/Primitives,320,172,180,180,0,0,5,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/icache/tlb/Primitives,8,0,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/uncore/DebugModule_1/Primitives,353,106,0,0,0,0,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/uncore/DebugModule_1/ramMem_0_ramMem_0_0/Primitives,0,0,12,12,0,1,0,0,0,0
PROC_SUBSYSTEM_0/CORERISCV_AXI4_0/ChiselTop0/uncore/DebugModule_1/ramMem_0_ramMem_0_1/Primitives,0,0,12,12,0,1,0,0,0,0
