
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. RISCV_TOP, 4528, 8636, 829, 0, 2, 522, 89, 5, 10
.	. PROC_SUBSYSTEM, 4497, 8634, 802, 0, 2, 522, 89, 2, 0
.	.	. AXI_GLUE_LOGIC, 0, 16, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBTOAPB3_15s_0s, 91, 65, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CAHBtoAPB3OIl_0s_0_1_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CAHBtoAPB3O_0s_0_1_0_1_2_3_4, 9, 30, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CAHBtoAPB3l1I_0s, 80, 33, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_5s_0s_0s_0s_2s_0, 415, 740, 80, 0, 0, 0, 12, 0, 0
.	.	.	. COREAXITOAHBL_AHBMasterCtrl_Z10_1, 135, 423, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXIOutReg_5s_0, 69, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXISlaveCtrl_Z9_1, 73, 317, 40, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSRTBAddrOffset_1, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSTRBPopCntr_1, 0, 36, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_1, 69, 0, 0, 0, 0, 0, 6, 0, 0
.	.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_2, 69, 0, 0, 0, 0, 0, 6, 0, 0
.	.	. COREAXITOAHBL_5s_0s_0s_0s_2s_1, 394, 725, 56, 0, 0, 0, 12, 0, 0
.	.	.	. COREAXITOAHBL_AHBMasterCtrl_Z10_0, 123, 413, 28, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXIOutReg_5s, 71, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_AXISlaveCtrl_Z9, 62, 312, 28, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSRTBAddrOffset, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAXITOAHBL_WSTRBPopCntr, 0, 36, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd, 69, 0, 0, 0, 0, 0, 6, 0, 0
.	.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_0, 69, 0, 0, 0, 0, 0, 6, 0, 0
.	.	. COREJTAGDEBUG_85_1s, 16, 94, 0, 0, 0, 0, 0, 2, 0
.	.	.	. uj_jtag_85, 16, 92, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBLite_Z4, 46, 114, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_4_1_0_2_0_0_0_0s, 46, 114, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_4_1_0_2_0s_0_1_0, 32, 55, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 14, 59, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3, 13, 26, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBLite_Z7, 48, 149, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_0_65792_0_0_0_0s, 48, 149, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_65792_0s_0_1_0, 44, 93, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_3, 4, 56, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_0, 3, 18, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_Z8, 0, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 32, 0, 0, 0, 0, 0, 0, 0
.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_1610612736_2s_5s_34s_2s, 2918, 6107, 605, 0, 2, 10, 65, 0, 0
.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ASYNC_FIFO_1s_36s_0s_2s, 84, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ASYNC_FIFO_1s_41s_1s_2s, 98, 51, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_DEBUG_TRANSPORT_MODULE_JTAG_Z11, 96, 199, 4, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_TOP_1610612736, 2640, 5844, 601, 0, 2, 10, 65, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ROCKET_TILE_1610612736, 1545, 3529, 458, 0, 2, 10, 6, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_D_CACHE, 336, 537, 25, 0, 0, 5, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ARBITER, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ARBITER_2, 0, 115, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_D_CACHE_DATA_ARRAY, 0, 8, 0, 0, 0, 4, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_FINISH_QUEUE, 4, 114, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_METADATA_ARRAY, 8, 58, 8, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_TLB_1, 0, 15, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_FRONTEND_1610612736, 237, 428, 48, 0, 0, 5, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_I_CACHE, 172, 301, 18, 0, 0, 5, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_TLB_0, 0, 8, 0, 0, 0, 0, 0, 0, 0
