
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. BaseDesign, 5438, 10109, 1107, 0, 2, 138, 6, 4, 19
.	. CCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. CCC_CCC_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. CoreAHBL, 31, 94, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBL_CoreAHBL_0_CoreAHBLite_Z7, 31, 94, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_0_128_0_0_0_0s, 31, 94, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_128_0s_0_1_0, 27, 45, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_2, 4, 49, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_1_0, 3, 17, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBL1, 58, 120, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBL1_CoreAHBL1_0_CoreAHBLite_Z5, 58, 120, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_0_256_0_0_0_0s, 58, 120, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_256_0s_0_1_0, 44, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 14, 73, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_1, 13, 38, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHB_APB3, 99, 45, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBTOAPB3_15s_0s, 99, 45, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_AhbToApbSM_0s_0_1_0_1_2_3_4, 9, 26, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_ApbAddrData_0s, 88, 17, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_PenableScheduler_0s_0_1_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_0, 32, 1, 0, 0, 0, 0, 0, 0, 0
